farsi,exactr,exactf,chapter
riyāziyāt,математика,ریاضیات,7
rob’,четверть,ربع,7
rosum,обычаи; нравы,رسوم,7
ruzmarre,ежедневный,روزمره,7
sāat,"час, часы",ساعت,7
sālon-e qazāxori-ye dānešgāh ,столовая в университете,سالن قزاخری دانشگاه ,7
sāniye,второй,ثانیه,7
sāniyešomār,подержанный,سانیشمار,7
sarzamin,страна; территория,سرزمین,7
sepas,тогда; впоследствии,سپس,7
sinamā,кинотеатр,سینما,7
sobhāne,завтрак,صبحانه,7
solh,мир (не война),صلح,7
"šoru’ šodan (šav, šow)",начать,شروع شدن,7
su,"сторона, направление",سو,7
tafrih kardan (kon),развлекать,تفریح کردن,7
tanbal,ленивый,تنبل,7
teātr,театр,تئاتر,7
tenis,теннис,تنیس,7
tire,1) племя 2) тёмный,تیر,7
Torkaman,"туркмен, туркменский",ترکمن,7
xāb,сон,خواب,7
yahudi,"еврей, еврейский",یهودی,7
zartošti,"зороастриец, зороастрийский",زرتشتی,7
zohr,полдень,ظهر,7
abrišam,шелк,ابریشم,8
ajale,спешка,عجله,8
aqab,задняя часть,عقب,8
asbābkeši,переезд (на квартиру),اسبابکشی,8
āvizān,подвешенный,آویزان,8
āvizān kardan (kon),вешать,آویزان کردن,8
bā vojud-e,несмотря на,با وجودِ,8
bāarzeš,(драго)ценный,باارزش,8
bāfande,ткач; вязальщик,بافند,8
bāft,ткань,بافت,8
bālā,выше; сверху,بالا,8
bālkon,балкон,بالکن,8
banafš,фиолетовый,بنفش,8
bar,на,بر,8
bārāni,"дождливый, плащ",بارانی,8
bastegi dāštan (dār),зависеть,بستگی داشتن,8
be xāter-e,из-за,به خاطرِ,8
be dun-e,без,به دونِ,8
beyn(-e),"среди, между",بین,8
bi,без,بی,8
birun(-e),"вне, снаружи",بیرون,8
candsadsāle,несколько сотен лет,چندصدساله,8
dāman,юбка,دامن,8
dar arz-e,внутри,در عرضِ,8
dar bāre-ye,"о, про",در باره‌‌,8
dar tul-e,во время,در طولِ,8
darbāzkon,открывалка,دربازکن,8
darun(-e),в,درون,8
dastmāl kešidan (keš),протирать,دستمال کشیدن,8
dāxel(-e),в,داخل,8
diruz,вчера,دیروز,8
divār,"стена, забор",دیوار,8
docarxe,велосипед,دوچرخه,8
emtehān,экзамен,امتحان,8
faqat,только,فقط,8
forušgāh,магазин,فروشگاه,8
gārāž,гараж,گاراژ,8
garmkon,спортивный костюм,گرمکن,8
goldān,ваза для цветов,گلدان,8
gozāreš,"отчёт, доклад",گزارش,8
harekat kardan (kon),"двигаться, отправляться",حرکت کردن,8
hezārānsāle,тысячи лет,هزاران‌ساله,8
hodud-e,о,حدودِ,8
istgāh,"остановка, станция",ایستگاه,8
jeliqe,жилет,جلیقه,8
jelow,передний,جلو,8
jens,1) пол (покрытие) 2) материал,جنس,8
joz,кроме,جز,8
kāmpiyuter,компьютер,کامپیوتر,8
kāpšen,куртка,کاپشن,8
kārt,"карта, карточка",کارت,8
kārton,мультфильм,کارتون,8
kelid,ключ,کلید,8
kerem,крем,کرم,8
kešow,шуфлядка (выдвижной ящик стола),کشو,8
ketābxāne,библиотека,کتابخانه,8
keyfiyat,"добротность, качество",کیفیت,8
kodāmyek,который,کدامیک,8
komak kardan (kon),помощь,کمک کردن,8
komod,шкаф,کمد,8
kot,куртка,کت,8
lebās,"костюм, платье",لباس,8
mahsul,продукт,محصول,8
manzur,цель,منظور,8
mašqul,"занятый, занятой",مشغول,8
meški,черный,مشکی,8
miyān-e,среди; между,میانِ,8
miztahrir,стол,میز تحریر,8
mosāferat kardan (kon),путешествие,مسافرت کردن,8
naqš,роль; образец,نقش,8
nārenji,оранжевый,نارنجی,8
Nowruz,навруз,نوروز,8
pāltow,пальто,پالتو,8
panjere,окно,پنجره,8
pašm,шерсть,پشم,8
pāyin,"вниз, внизу",پایین,8
piš(-e),"последний, прошедший; до, ранее",پیش,8
pišine,прошлое,پیشین,8
poliver,свитер,پلیور,8
pošt,спина,پشت,8
pušāk,одежда,پوشاک,8
qahvei,коричневый,قهوه ای,8
qālibāfi,ковроткачество,قالیبافی,8
qarār dādan (deh),"ставить, класть, помещать",قرار دادن,8
qeyr az,кроме,غیر از,8
qolle,1) вершина 2) саммит,قله,8
rāje’ be,о; относительно,راجع به,8
sabad,корзина,سبد,8
sabr kardan (kon),ждать,صبر کردن,8
sāder kardan (kon),"выпускать, выставлять, экспортировать",صادر کردن,8
sāderkonande,экспортер,صادرکننده,8
šalvārjin,джинсы,شلوارجین,8
sanāye-e dasti,ручная работа,صنایع دستی,8
sarāsar,"повсюду, везде",سراسر,8
sefid,белый,سفید,8
siyāh,черный,سیاه,8
sohbat,"разговор, беседа",صحبت,8
sormei,темно-синий,سرمه‌ای,8
surati,розовый,صورتی,8
tāblow,"картина, табличка",تابلو,8
tappe,холм,تپه,8
taraf,сторона,طرف,8
tarh,"набросок, эскиз, план",طرح,8
tārix,история,تاریخ,8
taxt,кровать,تخت,8
taxtexāb,кровать,تختخواب,8
Tumān,"иранская денежная единица, десять риалов",تومان,8
vāred kardan (kon),импорт,وارد کردن,8
vasat,середина,وسط,8
vasile,средство,وسیله,8
vitrin,витрина,ویترین,8
xāli,пустой,خالی,8
xārej(-e),"за рубежом, (во)вне",خارج,8
žākat,куртка,ژاکت,8
zir-e,под,زیرِ,8
zirzamin,подвал,زیرزمین,8
zur,"сила, мощь, мощность, насилие",زور,8
ābrizeš,простуда,آبریزش,9
adab,1) вежливость 2) литература,ادب,9
adas,чечевица,عدس,9
afsāne,сказка,افسانه,9
ālbālu,кислая вишня,آلبالو,9
ālu,слива,آلو,9
āmuzeš,обучение,آموزش,9
anār,гранат,انار,9
angur,виноград,انگور,9
anjām,исполнение; завершение; выполнение,انجام,9
ārd,мукА,آرد,9
arzān,дешево,ارزان,9
asar,результат; работа,اثر,9
āsār,результаты; работы,آثار,9
asātir,мифология,اساطیر,9
āsemān,небо,آسمان,9
ātašfešāni,вулканический,آتشفشانی,9
āyā,ли,آیا,9
bāšokuh,блистательный; великолепный,باشکوه,9
bāzu,рука (выше кисти),بازو,9
be onvān-e,чем,به عنوانِ,9
bini,нос,بینی,9
bolvār,бульвар,بلوار,9
cegune,как?,چگونه,9
cejur,что за?,چجور,9
ceqadr,сколько,چقدر,9
didār,"посещение, визит",دیدار,9
donbāl gaštan (gard),искать,دنبال گشتن,9
ertefā’,высота,ارتفاع,9
ešāre,"указание, намек",اشاره,9
farāvān,"много, обильный",فراوان,9
farmāyeš,распоряжение (ف___),فرمایش,9
fehrest,"каталог, индекс, регистр",فهرست,9
gandom,пшеница,گندم,9
gilās,черешня,گیلاس,9
golābi,груша,گلابی,9
holu,персик,هلو,9
inqadr,так много,اینقدر,9
jādde,шоссе,جاده,9
jāygāh,(место)положение,جایگاه,9
jostoju,поиск,جستجو,9
ketābforuši,книжный магазин,کتابفروشی,9
key,когда,کی,9
keyk,торт,کیک,9
ki,кто,کی,9
kilu,килограмм,کیلو,9
lappe,половина нута,لپه,9
lāzem dāštan (dār),"требовать, нуждаться",لازم داشتن,9
litr,литр,لیتر,9
lubiyā,фасоль,لوبیا,9
maqāzedār,владелец магазина,مقازدار,9
maxrutišekl,конический,مخروتیشکل,9
metr,"счетчик, -метр",متر,9
moštari,клиент,مشتری,9
mowz,банан,موز,9
nārengi,мандарин,نارنگی,9
nāxon,гвоздь,ناخن,9
noxod,"горох, нут",نخود,9
omid,надежда; ожидание,امید,9
onvān,название; подпись; заголовок,عنوان,9
pasandidan (pasand),нравиться,پسندیدن,9
paziroftan (pazir),"принять, согласиться",پذیرفتن,9
peste,фисташки,پسته,9
pezeški,медицинский,پزشکی,9
pišnahād ,предложение; рекомендация,پیشنهاد ,9
porseš,вопрос,پرسش,9
porteqāl,апельсин,پرتقال,9
poxtan (paz),повар,پختن,9
qābelero’yat,видимый,قابل رویت,9
qamgin,грустный; несчастный,غمگین,9
qašang,довольный; красивый,قشنگ,9
rāhat,удобный,راحت,9
šāer,поэт,شاعر,9
sabok,лёгкий,سبک,9
sabtšode,зарегистрированный,ثبت‌شده,9
sāf,"прозрачный, чистый",صاف,9
sag,собака,سگ,9
šenāxtan (šenās),знать,شناختن,9
šir,молоко,شیر,9
soāl,вопрос,سوال,9
tabii,"натуральный, естественный",طبیعی,9
tārixce,история,تاریخچه,9
tutfarangi,клубника,توتفرنگی,9
varaq zadan (zan),листать,ورق زدن,9
xās(s),"особенный, типичный",خاص,9
zerešk,барбарис,زرشک,9
āftāb,солнце,آفتاب,10
āšpazxāne,кухня,آشپزخانه,10
baqal-e,рядом с,بغلِ,10
baqaldast-e,рядом с,بغل‌دست,10
bāqi māndan (mān),оставаться,باقی ماندن,10
bāvar kardan (kon),верить,باور کردن,10
bāyad,"нужно, надо",باید,10
bāzdid,"посещение, визит",بازدید,10
belit,билет,بلیط,10
berenj,рис,برنج,10
bošqāb,тарелка,بشقاب,10
bufe,буфет; шкаф,بوف,10
cangāl,вилка,چنگال,10
cāqu,нож,چاقو,10
cešmnavāz,"выделяющийся, бросающийся в глаза",چشمنواز,10
cidan (cin),расставлять; рвать,چیدن,10
dahān,рот,دهان,10
dandān,зуб,دندان,10
dar bar gereftan (gir),включать в себя; содержать,در بر گرفتن,10
dis,пластина,دیس,10
donbāl āmadan (ā),следовать,دنبال آمدن,10
dorost kardan (kon),"готовить (пищу), делать, строить, ремонтировать",درست کردن,10
ehtemālan,вероятно,احتمالا,10
ejāze dādan (deh),"позволить, разрешить",اجازه دادن,10
emsāl,в этом году,امسال,10
emtehān kardan (kon),"проверять, тестировать",امتحان کردن,10
entexāb kardan (kon),выбирать,انتخاب کردن,10
fenjān,чашка,فنجان,10
guš kardan (kon),слышать; слушать,گوش کردن,10
hamānand,"как, подобно",همانند,10
hamrāh,1) спутник 2) вместе с,همراه,10
hamsāyegi,"соседство, близость",همسایگی,10
harce,что угодно,هرچه,10
harf,"слово, буква",حرف,10
havādār,"фанат, поклонник",هوادار,10
"hāzer šodan (šav, šow)",приготовьтесь,حاضر شدن,10
heyf,жалость,حیف,10
intowri,так,اینطوری,10
jow,ячмень,جو,10
kābinet,кабинет; шкаф,کابینت,10
kāfi,достаточно,کافی,10
kāmel,полный; завершенный; совершенный,کامل,10
kārd,нож,کارد,10
kāse,миска,کاسه,10
ketri,чайник,کتری,10
kohan,старый; древний,کهن,10
lab,губа,لب,10
lotf,любезность,لطف,10
māhi,рыба,ماهی,10
majbur,"вынужденный, обязанный",مجبور,10
māmān,мама,مامان,10
masalan,например,مثلا,10
mavād(d),материалы,مواد,10
"māyel budan (hast, bāš)",быть благосклонным к чему-то,مایل بودن,10
maze,вкус пищи,مزه,10
moqāyese,сравнение,مقایسه,10
mošaxxasāt,личные данные,مشخصات,10
"movāzeb budan (hast, bāš)","обращать внимание, быть внимательным",مواظب بودن,10
musiqi,музыка,موسیقی,10
nāgozir,"неизбежный, обязательный",ناگزیر,10
niyāz,нужно,نیاز,10
ojāq,"печь, духовка",اجاق,10
otāq-e nāhārxori,столовая,اتاق ناهارخوری,10
otobus,автобус,اتوبوس,10
ozrxāhi kardan (kon),извиняться,عذرخواهی کردن,10
pišdasti,плита,پیشدستی,10
polow,"плов, рис",پلو,10
qarār,договоренность,قرار,10
"qarār budan (hast, bāš)",на самом деле должен,قرار بودن,10
qasd dāštan (dār),намереваться,قصد داشتن,10
qāšoq,ложка,قاشق,10
qatār,поезд,قطار,10
qorub,закат,غروب,10
quri,чайник,قوری,10
rāh,путь,راه,10
rezerv kardan (kon),"бронировать, резервировать",رزرو کردن,10
safar,путешествие,سفر,10
sāhel,побережье,ساحل,10
"šāmel šodan (šav, šow)","содержать, включать",شامل شدن,10
šāyad,наверное,شاید,10
sini,поднос,سینی,10
soāl kardan (kon),спросить,سوال کردن,10
tahvil,доставка,تحویل,10
tamaddon,цивилизация,تمدن,10
tarjih dādan (deh),предпочитать,ترجیح دادن,10
tarkibāt-e qazāyi ,комбинации продуктов,ترکیبات قضایی ,10
tasmim dāštan (dār),намереваться,تصمیم داشتن,10
ta’tilāt,"праздник, каникулы",تعطیلات,10
tavānestan (tavān),может,توانستن,10
tolu’,восход солнца,طلوع,10
"xarāb šodan (šav, šow)","быть сломанным, разрушенным",خراب شدن,10
xošbu,"ароматный, душистый",خوشبو,10
xošmaze,(очень) вкусный,خوش‌مزه,10
xošrang,красивого цвета,خشرنگ,10
zamān,"время, период, момент",زمان,10
zarfšuyi,посудомоечная машина; мойка посуды,ظرفشویی,10
zud,"ранний, рано, быстро",زود,10
ābšār,водопад,آبشار,11
ādami,"кто-то, обобщенное лицо",آدمی,11
afsus,увы,افسوس,11
alāqe,пристрастие,علاقه,11
ārāmgāh,мавзолей,آرامگاه,11
ārenj,локоть,آرنج,11
arg,"замок, крепость",ارگ,11
asb,лошадь,اسب,11
atr,"духи, аромат, парфюм",عطر,11
āvāz,песня,آواز,11
āxarehafte,выходные,آخر‌هفته,11
āyande,будущий,آینده,11
bāq,"сад, дача",باغ,11
bāxtan (bāz),потерять,باختن,11
bejoz,кроме,بجز,11
be šomār āmadan (ā),подсчитывать,به شمار آمدن,11
bigāne,иностранный; иностранец,بیگانه,11
biš az,больше чем,بیش از,11
bu,запах,بو,11
cāyxāne,"чайный дом, чайхана",چایخان,11
dard āvardan (āvar),боль,درد آوردن,11
dišab,вчера вечером,دیشب,11
doroške,"повозка, экипаж",درشکه,11
"dowr-e ham jam’ budan (hast, bāš)",быть вместе,دوره هم جمع بودن,11
farāmušnašodani,незабываемый,فراموشنشدنی,11
farhangi,культурный,فرهنگی,11
ferestādan (ferest),отправить; послать,فرستادن,11
gardešgari,туризм,گردشگری,11
gorbe,кошка,گربه,11
gowjefarangi,помидор(ы),گوجه فرنگی,11
gozaštan (gozar),"пройти, перейти, простить",گذشتن,11
hammām,ванна; ванная комната,حمام,11
havij,морковь,هویج,11
hedye,подарок,هدیه,11
kāhu,салат-латук,کاهو,11
kāmiyon,грузовик,کامیون,11
kutāh,короткие,کوتاه,11
majalle,журнал,مجله,11
majmue,"набор, коллекция, комплекс",مجموعه,11
manāteq,"районы, области",مناطق,11
mast,пьяный,ماست,11
"mostaqar šodan (šav, šow)",оседать,مستقر شدن,11
naqqāši kardan (kon),краска,نقاشی کردن,11
nārenj,"померанец, грейпфрут",نارنج,11
nazdiki,близость,نزدیکی,11
pā,нога,پا,11
pā-ye telefon,по телефону,پای تلفن,11
pariruz,позавчера,پریروز,11
parišab,позавчера вечером; позавчера ночью,پریشب,11
"piyāde šodan (šav, šow)",сойти (с транспорта),پیاده شدن,11
piyāderow,тротуар,پیادرو,11
piyāz,лук,پیاز,11
pompbenzin,автозаправочная станция,پمپبنزین,11
porbāzdid,часто посещают,پربازدید,11
postxāne,почтовое отделение,پستخانه,11
pul,деньги,پول,11
qad(d),"размер, длина (в т.ч. тела)",قد,11
qāyeq,лодка,قایق,11
raqs,танец,رقص,11
ruberu(-ye),напротив (чего-либо),روبروی,11
ruznāme,газета,روزنامه,11
sāed,предплечье,ساعد,11
sālād,салат,سالاد,11
šāmpu,шампунь,شامپو,11
"savār šodan (šav, šow)",садиться (на транспорт),سوار شدن,11
sāxt,строительство; производство,ساخت,11
šekastan (šekan),перерыв,شکستن,11
šenā,плаванье,شنا,11
tavallod-at mobārak,с днем ​​рождения,تولدت مبارک,11
vān,ванна,وان,11
varzeš,спорт,ورزش,11
xiyār,огурец,خیار,11
xoš,"хороший, радостный",خوش,11
xoš gozaštan (gozar),хорошо провести время,خوش گذشتن,11
zādgāh,место рождения,زادگاه,11
zorrat,кукуруза,ذرت,11
A’rāb,арабы,عراب,12
ābma’dani,минеральная вода,آب‌معدنی,12
ābporteqāl,оранжевый сок,آبپرتقال,12
āli,высокий (ع___),عالی,12
amr,приказ,امر,12
ānconān,так,آنچنان,12
aslan,вообще (не),اصلا,12
asli,главный,اصلی,12
āxarin,последний,آخرین,12
barpā kardan (kon),"установить, настроить",برپا کردن,12
bāstān,древний,باستان,12
baxš,раздел; часть; отдел,بخش,12
be cāleš kešidan,вызов,به چالش کشیدن,12
be dast-e,по,به دستِ,12
be qodrat residan (res),прийти к власти,به قدرت رسیدن,12
cešmgir,впечатляющий,چشمگیر,12
dar extiyār dāštan (dār),"иметь, обладать",در اختیار داشتن,12
del xāstan (xāh),как,دل خاستن,12
din,религия,دین,12
dobāre,"снова, опять",دوباره,12
dovvom,второй,دوم,12
dowrān,эпоха; период; возраст,دوران,12
dowre,эпоха; курс; период,دوره,12
ehterām gozāštan (gozār),уважение,احترام گذاشتن,12
elmi,научный,علمی,12
emperāturi,империя,امپراتوری,12
eslāmi,исламский,اسلامی,12
eyālat,государство; область,ایالت,12
farmānravāyi,"империя, правление",فرمانروایی,12
gārson,официант,گارسون,12
gostareš,распространение,گسترش,12
guš dādan (deh),слышать; слушать,گوش دادن,12
gušt,мясо,گوشت,12
hālā,сейчас,حالا,12
hamle,атака,حمله,12
hamtā,"равный, подобный",همتا,12
hanuz,"пока, еще",هنوز,12
harruz,каждый день,هرروز,12
hendoorupāyi,индоевропейский,هند و اروپایی,12
hezāre,тысячелетие,هزاره,12
hodud-e,о,حدودِ,12
hokumat,правительство,حکومت,12
jahāni,глобальный,جهانی,12
kabāb,шашлык,کباب,12
kare,сливочное масло,کار,12
kuc,эмиграция; иммиграция,کوچ,12
lezzat bordan (bar),наслаждаться,لذت بردن,12
lotf kardan (kon),проявлять доброту,لطف کردن,12
maqduni,"македонский, македонец",مقدونی,12
marākez,центры,مراکز,12
marbut,"связанный с, имеющий отношение к",مربوط,12
marbut budan be,возвращаться к,مربوط بودن به,12
mariz,больной,مریض,12
markazi,центральный,مرکزی,12
meyl,желание,میل,12
meyl farmudan (farmā),есть; пить,میل فرمودن,12
miyāne,средний,میان,12
milād,рождение,میلاد,12
milādi,нашей эры,میلادی,12
mohājerat,эмиграция; иммиграция,مهاجرت,12
Moqol,"монгол, монгольский",مغول,12
mordan (mir),умереть,مردن,12
morq,"птица, курица",مرغ,12
moteassefāne,к сожалению,متاسفانه,12
negahdāri,"обслуживание, уход",نگهداری,12
nešāndan (nešān),"помещать, садить",نشاندن,12
nofuz,"проникновение, влияние",نفوذ,12
nušidani,пить,نوشیدنی,12
orupāyi,"европеец, европейский",اروپایی,12
pādšāhi,королевство,پادشاهی,12
pahnāvar,большой; широкий,پهناور,12
panir,сыр,پنیر,12
pārsāl,в прошлом году,پارسال,12
peydarpey,"последовательный, идущий друг за другом",پیدرپی,12
peydāyeš,внешний вид,پیدایش,12
pip,"трубка, свисток",پیپ,12
pišazin,прежде; предварительно,پیشزین,12
pišxedmat,официант,پیشخدمت,12
pors,часть,پرس,12
qablan,раньше,قبلا,12
qahve,кофе,قهوه,12
qarn,век,قرن,12
qodrat,мощность; сила,قدرت,12
qodratmand,мощный,قدرتمند,12
raftār,поведение,رفتار,12
rafte-rafte,постепенно,رفته‌رفته,12
rāndan (rān),1) прогонять 2) вести (автомобиль),راندن,12
residan (res),"приезжать, приходить, достигать",رسیدن,12
romi,"римлянин, римский",رومی,12
sade,столетие,ساده,12
šāhanšāhi,империя; имперский,شاهنشاهی,12
šarbat,щербет,شربت,12
šekast,поражение,شکست,12
selsele,династия,سلسله,12
sigār kešidan (keš),дым,سیگار کشیدن,12
šokufāyi,"бум, подъём",شکوفایی,12
sokunat kardan (kon),проживать,سکونت کردن,12
solte,превосходство,سلطه,12
šomār,номер; число,شمار,12
sosis,колбаска,سوسیس,12
surathesāb,"чек, счёт-фактура",صورتحساب,12
suratqazā,меню,سورتقزا,12
ta’sirgozār,эффективный,تاثیرگذار,12
ta’sis kardan (kon),"установить, основать",تاسیس کردن,12
tahājom,вторжение,تهاجم,12
talx,горький,تلخ,12
tārixnegār,историк,تاریخنگار,12
"taz’if šodan (šav, šow)",быть ослабленным,تضعیف شدن,12
vāqean,на самом деле,واقعا,12
xāme,сливки,خامه,12
xandedār,смешной,خنددار,12
xedmat,"обслуживание, сервис",خدمت,12
zang zadan (zan),кольцо,زنگ زدن,12
zānu,колено,زانو,12
zende,"живой, живо",زنده,12
zohur,внешний вид,ظهور,12
āfaridegār,"Бог, создатель",آفریدگار,13
Āfriqā,Африка,آفریقا,13
Ahriman,демон,اهریمن,13
āmuze,учения,آموز,13
andišmand,мыслитель,اندیشمند,13
angošt,палец,انگشت,13
asl,принцип; оригинал,اصل,13
"āšnā šodan (šav, šow)",познакомиться,آشنا شدن,13
Avestā,avesta,اوستا,13
āyin,культ; церемония,آیین,13
āzād,свободный,آزاد,13
āzād gozāštan (gozār),"позволить, разрешить",آزاد گذاشتن,13
ba’dan,впоследствии,بعدن,13
ba’di,последующий; дальнейший,بعدی,13
"balad budan (hast, bāš)","мочь, быть в состоянии",بلد بودن,13
bale,да,بله,13
barf,снег,برف,13
bāridan (bār),идти (дождь; снег),باریدن,13
bārik,тонкий,باریک,13
bāšad,хорошо,باشد,13
bozorgrāh,шоссе,بزرگراه,13
carxegušt,мясорубка,چرخگوشت,13
conin,"такой, подобный",چنین,13
daf’e,раз,دفعه,13
damāq,нос,دماغ,13
dastyābi,достижения; получение,دستیابی,13
doktor,врач,دکتر,13
dozd,вор; похититель; разбойник,دزد,13
ejbāri,обязательное,اجباری,13
ensān,человек,انسان,13
entexāb,"выбор, выборы",انتخاب,13
erāde,воля,اراده,13
eslāhtalab,реформатор; реформист,اصلاحطلب,13
ettefāq oftādan (oft),случиться,اتفاق افتادن,13
falsafe,философия,فلسفه,13
farāmuš kardan (kon),забывать,فراموش کردن,13
farār kardan (kon),сбежать,فرار کردن,13
filsuf,философ,فیلسوف,13
gārānti,гарантия,گارانتی,13
gerdāvari,сбор; сборник,گرداوری,13
girande,приемник,گیرنده,13
goftār,речь; слово,گفتار,13
gonde,большой; огромный,گنده,13
gozineš,выборы; выбор,گزینش,13
hargez,никогда,هرگز,13
hattā,даже,حتی,13
hendevāne,арбуз,هندوانه,13
hesābi,на самом деле; действительно,حسابی,13
hicciz,ничего,هیچچیز,13
hicvaqt,никогда,هیچوقت,13
hodudan,о,حدودا,13
inbār,на этот раз,اینبار,13
jam’āvari,сбор; компиляция,جمع‌آوری,13
kerdār,поведение,کردار,13
konun,в настоящее время,کنون,13
kuler,кондиционер,کولر,13
māhvāre,спутник,ماهواره,13
mardomān,люди,مردمان,13
māšin-e lebāsšuyi,стиральная машина,ماشین لباس‌شویی,13
maxlutkon,смеситель,مخلوتکن,13
mowjud,существо; в наличии; существующий,موجود,13
mowqe’,время,موقع,13
muš,мышь,موش,13
nabard,"борьба, состязание",نبرد,13
nik,хорошо,نیک,13
niki,доброта,نیکی,13
pahn,широкий,پهن,13
pakar,задумчивый,پکر,13
palid,"злой, грязный",پلید,13
pardāxtan (pardāz),"платить, осуществлять сделку",پرداختن,13
pazireš,принятие; прием,پذیرش,13
pendār,мысль; воображение,پندار,13
qarbi,западный,غربی,13
qelyān kešidan (keš),курить кальян,قلیان کشیدن,13
ranginkamān,радуга,رنگینکمان,13
sahne,сцена,صحنه,13
šart bastan (band),ставка,شرط بستن,13
šartbandi,ставка,شرط‌بندی,13
šekl,"рисунок, форма, внешний вид",شکل,13
šekl gereftan (gir),быть сформированным,شکل گرفتن,13
"šenidan (šenav, šenow)",заслушивать,شنیدن,13
šur,солёный,شور,13
suxtan (suz),гореть,سوختن,13
suzāndan (suzān),сжигать,سوزاندن,13
taālim,учение,تعالیم,13
ta’mir kardan (kon),ремонт,تعمیر کردن,13
ta’sir,влияние,تاثیر,13
tafsir ,интерпретация; комментарий,تفسیر ,13
tārik,темный,تاریک,13
tarjome,перевод,ترجمه,13
towzih dādan (deh),объяснять,توضیح دادن,13
xabar,весть,خبر,13
xāleq,создатель,خالق,13
xāmuš kardan (kon),выключать тушить,خاموش کردن,13
Xodā,Бог,خدا,13
xubi,доброта,خوبی,13
yād dādan (deh),"обучать, учить",یاد دادن,13
Yunān,греция,یونان,13
zabtesowt,магнитофон,زبتسوت,13
zistan (zi),жить,زیستن,13
āmpul,шприц,آمپول,14
āmpul zadan (zan),впрыскивать,آمپول زدن,14
andām,орган; тело,اندام,14
az qabil-e,такой как,از قبیلِ,14
bad,"плохой, плохо",بد,14
bād,ветер,باد,14
badan,тело,بدن,14
bārān,дождь,باران,14
bartar,"высший, лучший",برتر,14
bihessi,анестезия,بیحسی,14
binazir,уникальный; непревзойденный,بینظیر,14
bišomār,многочисленный,بیشمار,14
candvaqt,как долго,چندوقت,14
cexabar-ast,что происходит,چه‌خبر‌است,14
dandān-e kermxorde,кариозный зуб,دندان کرم‌خورده,14
dard,боль,درد,14
dard kardan (kon),боль,درد کردن,14
dāru,лекарство,دارو,14
dastgir,арестованный,دستگیر,14
davā,"препарат, лекарство",دوا,14
del,сердце,دل,14
deldard,боль в животе,دلدرد,14
derāz kešidan (keš),лежать,دراز کشیدن,14
dorošt,крупный,درشت,14
ehtemāl dāštan (dār),вероятно,احتمال داشتن,14
emtehān dādan (deh),сдать экзамен,امتحان دادن,14
eqāmat,остаться,اقامت,14
estekān,стакан,استکان,14
ettelā’,"информация, сообщение",اطلاع,14
fāsele,расстояние,فاصله,14
fešārxun,кровяное давление,فشارخون,14
fešārxun gereftan (gir),измерение артериального давления,فشارخون گرفتن,14
galu,"горло, шея",گلو,14
gardan,шея,گردن,14
gardandard,боль в шее,گردندرد,14
gerd-e ham āmadan (ā),собираться; объединяться,گرد هم آمدن,14
guš,ухо,گوش,14
gušdard,боль в ухе,گوشدرد,14
hālattahavvo’,тошнота,حالت تهوع,14
honari,художественный,هنری,14
jahāniyān,люди во всем мире,جهانیان,14
janbe,вид,جنبه,14
jeddi,серьезный,جدی,14
jelve,сияние,جلوه,14
kaf,пол,کف,14
kamar,поясница,کمر,14
kamardard,боль в спине,کمردرد,14
kāmelan ,полностью,کاملا ,14
kapsul,капсула,کپسول,14
kasif,грязный,کثیف,14
kāx,дворец,کاخ,14
kelisā,церковь,کلیسا,14
kešidan (keš),перетащить; тянуть; рисовать; красить,کشیدن,14
limu,лимон,لیمو,14
mālidan (māl),втирать,مالیدن,14
me’de,желудок,معده,14
me’dedard,боль в животе,معد درد,14
minākāri,эмаль,میناکاری,14
miniyātur,миниатюра,مینیاتور,14
moāyene,обследование,معاینه,14
moāyene kardan (kon),исследовать,معاینه کردن,14
mošāhede kardan (kon),"наблюдать, обозревать",مشاهده کردن,14
nāhiye,район,ناحیه,14
na’lbeki,блюдце,نعلبکی,14
namāyande ,"представитель, парламентарий",نماینده ,14
negārgari,картина,نگارگری,14
omidvār,многообещающий,امیدوار,14
owj,вершина; высота; пик,اوج,14
pādard,боль в ногах,پادرد,14
parde,занавес,پرده,14
pol,мост,پل,14
pomād,"мазь, помада",پماد,14
pust,кожа; оболочка,پوست,14
qarib,иностранный; зарубежный,غریب,14
qatre,"капля, капли",قطره,14
qors,таблетки; пилюля,قرص,14
raftoāmad,контакт; трафик,رفت‌وآمد,14
riz,тонкий; крошечный; маленький,ریز,14
šadid,тяжелый; радикальный,شدید,14
sāndevic,бутерброд,ساندویچ,14
sardard,головная боль,سردرد,14
šekam,живот,شکم,14
šekamdard,боль в животе,شکمدرد,14
sibzamini,картофель,سیبزمینی,14
sine,молочная железа; грудь,سینه,14
sinedard,боль в груди,سیندرد,14
tab,"жар, температура",تب,14
tagarg,град,تگرگ,14
tāze,новый,تازه,14
tufāni,штормовой,طوفانی,14
xātamkāri,инкрустация,خاتم‌کاری,14
xāter,память,خاطر,14
xirekonande,удивительный,خیره‌کننده,14
xis,мокрый,خیس,14
xošbaxtāne,к счастью,خوشبختانه,14
xošk,сухой,خشک,14
yax,лед,یخ,14
aks gereftan (gir),фотографировать;,عکس گرفتن,15
al’ān,теперь; в настоящее время,الان,15
andāze gereftan (gir),измерение,اندازه گرفتن,15
arzešmand,ценный,ارزشمند,15
